2020/11/04 20:14:06.797 [D] [value.go:475]  ---- 请求到达
2020/11/05 19:02:55.788 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:02:55.790 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:02:55.800 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:02:55.801 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:02:55.803 [D] [permission.go:49]  ---- 开始获取数据库连接 ----
2020/11/05 19:02:55.803 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:02:55.803 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:02:55.803 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:02:55.804 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:02:55.808 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:02:55.809 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:02:55.809 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:02:55.810 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:02:55.841 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    53.8551ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:03:54.368 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:03:54.369 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:03:54.369 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:03:54.376 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:03:54.378 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:03:54.380 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:03:54.388 [D] [permission.go:49]  ---- 开始获取数据库连接 ----
2020/11/05 19:03:54.389 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:03:54.390 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:03:54.391 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:03:54.393 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:03:54.393 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:03:54.395 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:03:54.395 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:03:54.396 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:03:54.439 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    70.8402ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:04:04.449 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:04:04.451 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:04:04.451 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:04:04.452 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:04:04.461 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:04:04.463 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:04:04.465 [D] [permission.go:49]  ---- 开始获取数据库连接 ----
2020/11/05 19:04:04.466 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:04:04.466 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:04:04.469 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:04:04.471 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:04:04.473 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:04:04.474 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:04:04.483 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:04:04.485 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:04:04.534 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    84.7733ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:04:36.017 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:04:36.018 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:04:36.018 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:04:36.019 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:04:36.030 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:04:36.032 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:04:36.034 [D] [permission.go:49]  ---- 开始获取数据库连接 ----
2020/11/05 19:04:36.035 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:04:36.035 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:04:36.038 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:04:36.040 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:04:36.041 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:04:36.042 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:04:36.042 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:04:36.045 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:04:36.105 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    88.0917ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:05:00.307 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:05:00.307 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:05:00.308 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:05:00.309 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:05:00.319 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:05:00.321 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:05:00.323 [D] [permission.go:49]  ---- 开始获取数据库连接 ----
2020/11/05 19:05:00.323 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:05:00.326 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:05:00.326 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:05:00.327 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:05:00.331 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:05:00.332 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:05:00.333 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:05:00.334 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:05:00.373 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    65.8249ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:05:07.676 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:05:07.677 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:05:07.677 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:05:07.685 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:05:07.687 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:05:07.689 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:05:07.690 [D] [permission.go:49]  ---- 开始获取数据库连接 ----
2020/11/05 19:05:07.690 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:05:07.691 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:05:07.693 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:05:07.699 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:05:07.702 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:05:07.702 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:05:07.702 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:05:07.705 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:05:07.743 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    66.8204ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:05:17.774 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:05:17.775 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:05:17.775 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:05:17.776 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:05:17.783 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:05:17.785 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:05:17.786 [D] [permission.go:49]  ---- 开始获取数据库连接 ----
2020/11/05 19:05:17.787 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:05:17.787 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:05:17.789 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:05:17.796 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:05:17.798 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:05:17.799 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:05:17.799 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:05:17.800 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:05:17.830 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    55.8491ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:05:26.533 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:05:26.533 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:05:26.534 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:05:26.536 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:05:26.544 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:05:26.546 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:05:26.548 [D] [permission.go:49]  ---- 开始获取数据库连接 ----
2020/11/05 19:05:26.549 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:05:26.549 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:05:26.551 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:05:26.553 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:05:26.556 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:05:26.556 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:05:26.558 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:05:26.559 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:05:26.607 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    73.8024ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:05:36.853 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:05:36.853 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:05:36.854 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:05:36.862 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:05:36.863 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:05:36.865 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:05:36.865 [D] [permission.go:49]  ---- 开始获取数据库连接 ----
2020/11/05 19:05:36.865 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:05:36.866 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:05:36.874 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:05:36.875 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:05:36.876 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:05:36.877 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:05:36.877 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:05:36.879 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:05:36.920 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    67.8191ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:06:20.097 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:06:20.098 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:06:20.098 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:06:20.099 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:06:20.107 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:06:20.109 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:06:20.111 [D] [permission.go:49]  ---- 开始获取数据库连接 ----
2020/11/05 19:06:20.112 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:06:20.114 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:06:20.115 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:06:20.116 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:06:20.118 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:06:20.118 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:06:20.120 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:06:20.121 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:06:20.161 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|     64.823ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:06:42.655 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:06:42.655 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:06:42.656 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:06:42.657 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:06:42.665 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:06:42.668 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:06:42.670 [D] [permission.go:49]  ---- 开始获取数据库连接 ----
2020/11/05 19:06:42.670 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:06:42.674 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:06:42.674 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:06:42.675 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:06:42.678 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:06:42.678 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:06:42.679 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:06:42.681 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:06:42.728 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    72.9826ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:06:49.923 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:06:49.924 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:06:49.924 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:06:49.925 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:06:49.932 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:06:49.934 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:06:49.936 [D] [permission.go:49]  ---- 开始获取数据库连接 ----
2020/11/05 19:06:49.936 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:06:49.939 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:06:49.939 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:06:49.940 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:06:49.942 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:06:49.943 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:06:49.943 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:06:49.944 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:06:49.995 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    71.8084ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:06:59.612 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:06:59.613 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:06:59.613 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:06:59.614 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:06:59.621 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:06:59.623 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:06:59.626 [D] [permission.go:49]  ---- 开始获取数据库连接 ----
2020/11/05 19:06:59.631 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:06:59.631 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:06:59.634 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:06:59.635 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:06:59.637 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:06:59.637 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:06:59.637 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:06:59.638 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:06:59.685 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    72.8044ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:07:19.096 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:07:19.097 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:07:19.097 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:07:19.098 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:07:19.108 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:07:19.110 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:07:19.112 [D] [permission.go:49]  ---- 开始获取数据库连接 ----
2020/11/05 19:07:19.113 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:07:19.115 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:07:19.115 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:07:19.119 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:07:19.119 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:07:19.121 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:07:19.126 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:07:19.128 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:07:19.175 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    79.7867ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:07:27.848 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:07:27.849 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:07:27.849 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:07:27.850 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:07:27.860 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:07:27.862 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:07:27.863 [D] [permission.go:49]  ---- 开始获取数据库连接 ----
2020/11/05 19:07:27.864 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:07:27.864 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:07:27.867 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:07:27.868 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:07:27.871 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:07:27.871 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:07:27.872 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:07:27.875 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:07:27.963 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   114.6993ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:07:56.535 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:07:56.537 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:07:56.537 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:07:56.537 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 19:07:56.538 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 19:07:56.686 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:07:56.687 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:07:56.687 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 19:07:56.688 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 19:07:56.698 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:07:56.699 [D] [permission.go:49]  ---- 开始获取数据库连接 ----
2020/11/05 19:07:56.699 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:07:56.699 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:07:56.700 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:07:56.701 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:07:56.701 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:07:56.701 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:07:56.702 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:07:56.702 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:07:56.741 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|   204.6341ms|   match|[46m POST    [0m /add/permission   r:/add/permission
2020/11/05 19:08:54.992 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:08:54.992 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:08:54.993 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:08:54.994 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:08:54.995 [D] [permission.go:68]  ---- 开始获取数据库连接 ----
2020/11/05 19:08:55.039 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    46.8725ms|   match|[41m DELETE  [0m /del/permission   r:/del/permission
2020/11/05 19:09:59.995 [D] [server.go:2843]  |      127.0.0.1|[43m 404 [0m|      988.1µs| nomatch|[43m PUT     [0m /del/permission
2020/11/05 19:10:21.936 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:10:21.936 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:10:21.936 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:10:21.938 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:10:21.939 [D] [permission.go:29]  ---- 开始获取数据库连接 ----
2020/11/05 19:10:21.941 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|     4.9867ms|   match|[43m PUT     [0m /update/permission   r:/update/permission
2020/11/05 19:11:43.218 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:11:43.219 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:11:43.219 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:11:43.231 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:11:43.233 [D] [permission.go:106]  ---- 开始获取数据库连接 ----
2020/11/05 19:11:43.236 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    17.9522ms|   match|[44m GET     [0m /get/permission   r:/get/permission
2020/11/05 19:12:30.525 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:12:30.526 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:12:30.527 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:12:30.532 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:12:30.534 [D] [permission.go:130]  ---- 开始获取数据库连接 ----
2020/11/05 19:12:30.541 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    15.9676ms|   match|[46m POST    [0m /get/permissions   r:/get/permissions
2020/11/05 19:13:06.689 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:13:06.690 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:13:06.691 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:13:06.696 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:13:06.698 [D] [permission.go:130]  ---- 开始获取数据库连接 ----
2020/11/05 19:13:06.703 [D] [server.go:2843]  |      127.0.0.1|[42m 200 [0m|    13.9615ms|   match|[46m POST    [0m /get/permissions   r:/get/permissions
2020/11/05 19:20:20.186 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:20:20.186 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:20:20.187 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:20:20.195 [D] [storage.go:51]  ---- 开始获取配置文件信息redis信息 ----
2020/11/05 19:20:20.196 [D] [storage.go:51]  ---- host:192.168.189.128,port:6379,pwd:redis@wcj,maxIdle:10,maxActive:100 ----
2020/11/05 19:20:20.338 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:20:20.339 [D] [permission.go:30]  ---- 开始获取数据库连接 ----
2020/11/05 19:20:20.339 [D] [storage.go:123]  ---- 开始获取配置文件中DB信息 ----
2020/11/05 19:20:20.341 [D] [storage.go:123]  user:root,password:520wcj,dbname:family_diary,maxIdle:10,maxConn:30
2020/11/05 19:20:20.352 [D] [permission.go:38]  ---- query sql:select id from fd_permission where permission_name = ?
2020/11/05 19:20:20.352 [D] [permission.go:50]  ---- 开始获取数据库连接 ----
2020/11/05 19:20:20.353 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:20:20.353 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:20:20.355 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
2020/11/05 19:20:20.356 [D] [cache.go:10]  ---- get redis val:admin ----
2020/11/05 19:20:20.358 [D] [cache.go:10]  ---- get redis starting ----
2020/11/05 19:20:20.358 [D] [cache.go:25]  ---- 开始获取redis连接 ----
2020/11/05 19:20:20.358 [D] [storage.go:35]  ---- 开始获取redis连接池 ----
